covidtrialID,measurementOMOPID
NCT04458948,37111521
NCT04425031,37398643
NCT04418193,40483539
NCT04418193,4480642
NCT04418193,4213477
NCT04447469,37311061
NCT04447469,35804805
NCT04447469,4216826
NCT04447469,4048496
NCT04447469,19025274
NCT04351581,4323433
NCT04351581,4480642
NCT04351581,4336683
NCT04351581,4152194
NCT04351581,415479
NCT04351581,4048496
NCT04359667,4041531
NCT04359667,4094657
NCT04359667,4189605
NCT04359667,4148615
NCT04359667,4267147
NCT04359667,409491
NCT04359667,42739976
NCT04438863,413384
NCT04386044,703429
NCT04408196,4169175
NCT04397796,4098135
NCT04397796,438878
NCT04397796,4041162
NCT04363749,45771331
NCT04363749,4227955
NCT04470609,4245997
NCT04470609,403485
NCT04470609,4078242
NCT04470609,528323
NCT04470609,4216067
NCT04470609,409491
NCT04470609,37399126
NCT04386083,4132152
NCT04420260,45771331
NCT04386070,37311061
NCT04386070,4094448
NCT04435587,4313591
NCT04435587,4310328
NCT04435587,4245997
NCT04435587,4254663
NCT04391920,4267147
NCT04391920,4245997
NCT04340466,37311061
NCT04327505,409491
NCT04429555,434557
NCT04360551,4152194
NCT04360551,400823
NCT04360551,44789315
NCT04359849,37311061
NCT04470258,4296538
NCT04470258,4126465
NCT04470258,4010052
NCT04355754,117516
NCT04355754,4353936
NCT04355754,1904618
NCT04355754,4329601
NCT04420806,4195803
NCT04420806,40757668
NCT04395391,41982009
NCT04395391,40218805
NCT04354584,4250616
NCT04466241,4310328
NCT04466241,37111521
NCT04466241,4336683
NCT04466241,3198682
NCT04466241,45890528
NCT04466241,4294804
NCT04445194,4181663
NCT04445194,403485
NCT04445194,4251143
NCT04445194,35936749
NCT04445194,528323
NCT04445194,4216067
NCT04445194,4078242
NCT04427137,4157256
NCT04427137,4157256
NCT04427137,4353953
NCT04391166,4288368
NCT04335279,37311061
NCT04456361,4078242
NCT04397666,4233883
NCT04392219,37393855
NCT04392219,40487382
NCT04392219,45889912
NCT04392219,4039428
NCT04392219,3198682
NCT04392219,42109
NCT04392219,4078242
NCT04392219,4216826
NCT04392219,4239408
NCT04392219,4048496
NCT04392219,4088512
NCT04392219,4064624
NCT04357366,4055285
NCT04432961,4064728
NCT04365959,35621756
NCT04410549,4213477
NCT04463602,37392316
NCT04463602,4336683
NCT04463602,4008859
NCT04445506,2212761
NCT04374695,4313591
NCT04337359,4013964
NCT04337359,372052
NCT04336787,42528957
NCT04274322,45876498
NCT04274322,43012761
NCT04469114,46271813
NCT04469114,45889912
NCT04469114,40487382
NCT04469114,4148615
NCT04469114,43012761
NCT04447144,416755
NCT04447144,45771331
NCT04447144,40762508
NCT04447144,4239408
NCT04447144,4313591
NCT04447144,4097616
NCT04447144,4132152
NCT04452435,528323
NCT04452435,4216067
NCT04452435,4078242
NCT04452435,409491
NCT04452435,4012972
NCT04452435,42539534
NCT04435015,4213477
NCT04335747,4078242
NCT04355884,4108582
NCT04417673,4256491
NCT04324047,4131379
NCT04453371,4213477
NCT04401540,4120014
NCT04373005,4308014
NCT04358588,44782659
NCT04358588,4072522
NCT04358588,409491
NCT04358588,4108582
NCT04463264,409491
NCT04457726,3050013
NCT04445246,409491
NCT04445246,21498408
NCT04472728,4336683
NCT04472728,4098135
NCT04426006,35936749
NCT04422353,4046932
NCT04462757,8637
NCT04366206,4148981
NCT04459286,4041531
NCT04459286,4094657
NCT04459286,4189605
NCT04459286,2212296
NCT04459286,45766326
NCT04401150,4165535
NCT04346277,4323433
NCT04346277,46271813
NCT04346277,4081164
NCT04422613,4135664
NCT04391686,37111521
NCT04431414,4120014
NCT04445961,4310328
NCT04445961,4096101
NCT04472611,4213477
NCT04472611,4267147
NCT04346420,4096101
NCT04379453,4267147
NCT04379453,4013733
NCT04379453,4306239
NCT04332913,4211515
NCT04332913,4094657
NCT04332913,414638
NCT04332913,4189605
NCT04332913,433852
NCT04332913,3630868
NCT04332913,4267147
NCT04332913,4223299
NCT04327804,45882671
NCT04412369,4336683
NCT04461379,4064473
NCT04461379,37392448
NCT04461379,3003037
NCT04461379,434557
NCT04472793,913915
NCT04447235,21601823
NCT04447235,4326744
NCT04456595,4041161
NCT04456595,4057304
NCT04456595,45771331
NCT04344925,4296538
NCT04335630,40218805
NCT04353596,319835
NCT04353596,4108582
NCT04406688,4336683
NCT04433078,40479411
NCT04433078,4135393
NCT04442048,4078242
NCT04418375,45889912
NCT04468256,4152194
NCT04468256,415479
NCT04410107,4096101
NCT04410107,4353936
NCT04445389,4041161
NCT04424836,4099592
NCT04341480,4239666
NCT04385251,40218805
NCT04445220,4267147
NCT04367740,4245997
NCT04366921,4189605
NCT04366921,414638
NCT04366921,45890528
NCT04366921,2212296
NCT04366921,45766326
NCT04366921,37016292
NCT04366921,4262845
NCT04447131,4267147
NCT04447131,4151358
NCT04444674,4245997
NCT04444674,426033
NCT04405492,4210123
NCT04456088,409491
NCT04456088,4108582
NCT04456088,4204561
NCT04456088,4245997
NCT04456088,45889912
NCT04456088,4039428
NCT04412746,4480912
NCT04401436,45889912
NCT04439006,4078242
NCT04360278,4152994
NCT04360278,757679
NCT04360278,4156221
NCT04341207,2212296
NCT04341207,4055286
NCT04341207,4041161
NCT04445623,46271813
NCT04423991,37311061
NCT04452474,4148615
NCT04452474,4298431
NCT04452474,4267147
NCT04452474,4094657
NCT04452474,4189605
NCT04452474,2212296
NCT04452474,4150345
NCT04452474,43012761
NCT04452474,4138597
NCT04290871,409491
NCT04355793,414638
NCT04355793,4267147
NCT04466670,4099154
NCT04466670,4230543
NCT04466670,35805046
NCT04466670,4039428
NCT04459676,4211515
NCT04459676,414638
NCT04459676,4189605
NCT04459676,4230543
NCT04435028,4098135
NCT04452812,409491
NCT04448119,4055286
NCT04445233,757681
NCT04465513,4152194
NCT04465513,4213477
NCT04465513,3014315
NCT04426318,42869721
NCT04460105,45889912
NCT04460105,4198678
NCT04460105,4039428
NCT04460105,4041531
NCT04460105,4094657
NCT04460105,4189605
NCT04460105,42109
NCT04460105,4230543
NCT04460105,45890528
NCT04404192,4092239
NCT04404192,44069
NCT04404192,1002134
NCT04404192,4041878
NCT04404192,706284
NCT04404192,45876059
NCT04404192,37203926
NCT04453488,4250175
NCT04453488,35936749
NCT04453488,4078242
NCT04453488,4173939
NCT04359706,4081164
NCT04359706,4211531
NCT04470999,4310328
NCT04470999,4224504
NCT04470999,35942044
NCT04455958,4216826
NCT04474340,4096101
NCT04461353,4078242
NCT04461353,4198042
NCT04461353,4245997
NCT04461353,4181663
NCT04461353,403485
NCT04468035,3016335
NCT04464460,36684937
NCT04487990,4306239
NCT04487990,4230543
NCT03808922,4041531
NCT03808922,4094657
NCT03808922,4189605
NCT03808922,42109
NCT03808922,4230543
NCT03808922,42021447
NCT04346940,40762522
NCT04368832,432969
NCT04474483,439787
NCT04193878,4239408
NCT04193878,19049024
NCT04477668,4296538
NCT04477668,4150345
NCT04475588,434557
NCT04475588,409491
NCT04475588,4148615
NCT04475588,4039428
NCT04475588,40487382
NCT04447781,4042412
NCT04447781,4041878
NCT04447781,320651
NCT04447781,4245997
NCT04447781,4152194
NCT04447781,415479
NCT04483752,45882797
NCT04480606,4169175
NCT04339686,4085442
NCT04475601,373503
NCT04482686,35936749
NCT04482686,45771331
NCT04467112,4310328
NCT04487210,703439
NCT04487210,4245997
NCT04487210,43303
NCT04487210,528323
NCT04487210,403485
NCT04487210,45771331
NCT04487210,403485
NCT04476953,4230543
NCT04476953,4189605
NCT04476953,4041531
NCT04476953,45889912
NCT04476953,4298431
NCT04476953,4267147
NCT04476953,4148615
NCT04476953,4254663
NCT04476953,4336683
NCT04476953,37392945
NCT04476953,2212302
NCT04476953,4078242
NCT03331445,410112
NCT03331445,414638
NCT03331445,4189605
NCT03331445,45889912
NCT03331445,4267147
NCT03331445,4245261
NCT03331445,4306239
NCT03331445,40762508
NCT03331445,409491
NCT04482621,4148615
NCT04482621,2212643
NCT04482621,4039428
NCT04482621,4094657
NCT04482621,4189605
NCT04482621,414638
NCT04482621,4230543
NCT04482621,2212296
NCT04419870,37111521
NCT04480593,46271813
NCT04333875,415756
NCT03452774,4174241
NCT03452774,4041284
NCT04406194,4126465
NCT04406194,37397755
NCT04406194,405732
NCT04406194,4057433
NCT04406194,431447
NCT04400682,37311061
NCT04400682,4126465
NCT04400682,37397755
NCT04400682,405732
NCT04400682,4057433
NCT04400682,431447
NCT04407156,4324124
NCT04351880,37311467
NCT04478539,4108582
NCT04467086,4323433
NCT04479358,4189605
NCT04479358,414638
NCT04479358,4148615
NCT04479358,4039428
NCT04479358,35200995
NCT04479358,35807448
NCT04479358,2212761
NCT04476979,4148615
NCT04476979,4244232
NCT04476979,4039428
NCT04476979,4010408
NCT04476979,414638
NCT04434144,4245997
NCT04476680,4326744
NCT04476680,45884175
NCT04476680,4245997
NCT04473053,4223299
NCT04473053,4336683
NCT04473053,37392316
NCT04473053,45889912
NCT04473053,4148615
NCT04473053,4267147
NCT04473053,37016292
NCT04473274,4223299
NCT04473274,414638
NCT04473274,37115989
NCT04480333,45771331
NCT04480333,45889912
NCT04480333,4232336
NCT04480333,4078242
NCT04447404,37016292
NCT04447404,4336683
NCT04475107,45889912
NCT04475107,4480642
NCT04475107,414638
NCT04475107,4189605
NCT04475107,46271813
NCT04483960,414638
NCT04483960,4189605
NCT04481685,434557
NCT04481685,43012761
NCT04481685,4148615
NCT04487574,414638
NCT04487574,4189605
NCT04487574,4223299
NCT04487574,4253759
NCT04487886,414638
NCT04487886,4189605
NCT04487886,45890528
NCT04480424,3739372
NCT04480424,4152194
NCT04482673,37311061
NCT04475081,4048692
NCT04475081,44818613
NCT04475081,4296954
NCT04432350,37311061
NCT04482699,4353936
NCT04482699,37016292
NCT04482699,4008859
NCT04473300,1311799
NCT04473300,4154803
NCT04477993,4148615
NCT04477993,4039428
NCT04477993,372052
NCT04477993,4096101
NCT04473690,45889912
NCT04473690,403485
NCT04473690,37393216
NCT04473690,2212924
NCT04485130,414638
NCT04485130,4189605
NCT04485130,4230543
NCT04489628,3039576
NCT04441047,4126465
NCT04441047,415479
NCT04441047,3006322
NCT04441047,4224504
NCT04441047,4310328
NCT04479540,2212296
NCT04407000,37311061
NCT04407000,4126465
NCT04407000,37397755
NCT04407000,405732
NCT04407000,4057433
NCT04407000,431447
NCT04475302,434557
NCT04475302,4169154
NCT04480112,4169175
NCT04480112,42527935
NCT04395508,4061031
NCT04395508,2212296
NCT04395508,42739976
NCT04395508,4078242
NCT04473170,4078242
NCT04379284,434557
NCT04290858,409491
NCT04488575,4480642
NCT04488575,4336683
NCT04488575,4041531
NCT04488575,4094657
NCT04488575,4189605
NCT04444986,37311061
NCT04444986,4126465
NCT04444986,37397755
NCT04444986,405732
NCT04444986,4057433
NCT04444986,431447
NCT04481620,4313591
NCT04487691,42538088
NCT04487691,413384
NCT03891420,4114518
NCT03891420,4224504
NCT03891420,4310328
NCT03891420,4096101
NCT03891420,4313591
NCT03891420,4064473
NCT03891420,4480642
NCT03891420,4336683
NCT03891420,414638
NCT03891420,4189605
NCT04401033,4120014
NCT04401033,4099605
NCT04482712,35936749
NCT04482712,45890528
NCT04482712,4094657
NCT04482712,4189605
NCT04482712,4313591
NCT04482712,4096101
NCT04482712,4239408
NCT04477083,9394
NCT04476706,4148615
NCT04480138,37392316
NCT04480138,4313591
NCT04480138,4096101
NCT04480138,4120014
NCT04480138,4336683
NCT04480138,4008859
NCT04481633,37311061
NCT04481633,4015455
NCT03376854,42035945
NCT03376854,19025274
NCT03376854,4078771
NCT03376854,4039428
NCT03376854,4245997
NCT04478071,45889912
NCT04478071,4094657
NCT04478071,4189605
NCT04478071,4041531
NCT04478071,4230543
NCT04478071,409491
NCT04478071,4230165
NCT04478071,36310723
NCT04476719,37311061
NCT04476719,4126465
NCT04476719,37397755
NCT04476719,405732
NCT04476719,4057433
NCT04476719,431447
NCT04475068,4150345
NCT04475068,36683419
NCT04488081,37016292
NCT04488081,4244279
NCT03963622,4086587
NCT03963622,37016292
NCT03963622,4245997
NCT04483375,723479
NCT04483375,4265485
NCT04485429,4216826
NCT04485429,21601607
NCT04460651,19087063
NCT04482595,4322628
NCT04482595,4223299
NCT04482595,4216826
NCT04482595,44818701
NCT04475185,4057432
NCT04475185,40664854
NCT04386876,4126465
NCT04386876,37397755
NCT04386876,405732
NCT04386876,4057433
NCT04386876,431447
NCT04452318,37044592
NCT04452318,40218805
NCT04486313,4224504
NCT04486313,3010647
NCT04486313,4096101
NCT04486313,4081164
NCT04486313,4094448
NCT04343053,4213534
NCT04476992,4310328
NCT02765191,37018292
NCT04447833,37016292
NCT04447833,2212296
NCT04447833,45766326
NCT04447833,3027946
NCT03648372,9394
NCT03648372,4078242
NCT03648372,42537336
NCT03648372,528323
NCT03648372,4215562
NCT03648372,4042412
NCT03648372,4041878
NCT04480957,4172077
NCT04480957,4064473
NCT04480957,4078242
NCT04480957,4326744
NCT04474288,4161294
NCT04480034,4245997
NCT03042143,37016292
NCT03042143,434004
NCT04328285,703439
NCT04328285,4213477
NCT04328285,3029815
NCT04348383,43012761
NCT04331834,4133775
NCT04331834,4057304
NCT04331834,4189605
NCT04331834,414638
NCT04331834,4246053
NCT04331834,4055802
NCT04331834,4250175
NCT04400032,37016292
NCT04400032,8568
NCT04400032,36684937
NCT04438837,4323433
NCT04393038,4096101
NCT04393038,4120014
NCT04391309,4323433
NCT04391309,46271813
NCT04268537,4120445
NCT04268537,4081164
NCT04268537,4253759
NCT04292899,4041531
NCT04292899,4094657
NCT04292899,4189605
NCT04292899,2212296
NCT04292899,45766326
NCT04342728,409491
NCT04342728,4094448
NCT04405271,37111521
NCT04341688,4093836
NCT04329650,4148615
NCT04329650,4189605
NCT04329650,414638
NCT04329650,4039428
NCT04335136,4014007
NCT04335136,4042412
NCT04335136,37398711
NCT04384549,432588
NCT04384549,4041878
NCT04385849,4233883
NCT04385849,439937
NCT04385849,4121879
NCT04385849,4322628
NCT04385849,2212333
NCT04385849,43012761
NCT04385849,4055286
NCT04438980,4096101
NCT04438980,410346
NCT04438980,4233883
NCT04438980,45768444
NCT04438980,42741827
NCT04380961,4108582
NCT04380961,4065409
NCT04380961,403485
NCT04380961,4148615
NCT04380961,4267147
NCT04380961,4480642
NCT04380961,4336683
NCT04380961,45890528
NCT04380961,42050095
NCT04380961,37392316
NCT04380961,4245261
NCT04380961,4306239
NCT04380961,4175016
NCT04380961,4078242
NCT04380961,434557
NCT04377997,4405019
NCT04318015,409491
NCT04318015,4213477
NCT04377334,409491
NCT04398004,4148615
NCT04395170,4213477
NCT04347889,4216826
NCT04422275,40772093
NCT04347174,37392316
NCT04347174,4336683
NCT04354155,4267147
NCT04354155,4245261
NCT04354155,4094436
NCT04354155,4480642
NCT04354155,4336683
NCT04397692,409491
NCT04283461,409491
NCT04283461,4480642
NCT04283461,4336683
NCT04283461,528323
NCT04283461,4216067
NCT04283461,4078242
NCT04283461,4232336
NCT04408040,4245997
NCT04435184,4306576
NCT04344184,20162
NCT04352985,44809183
NCT04352985,4223299
NCT04352985,4323433
NCT04352985,4298431
NCT04352985,4267147
NCT04352985,4081164
NCT04352985,4099154
NCT04412252,46271813
NCT04412252,45889912
NCT04412252,4281995
NCT04412252,4148615
NCT04383613,42742412
NCT04383613,4165535
NCT04383613,4245997
NCT04275414,37016292
NCT04275414,4189605
NCT04275414,4480642
NCT04275414,4152194
NCT04275414,415479
NCT04275414,4223299
NCT04354389,4326744
NCT04354389,4041531
NCT04354389,4094657
NCT04354389,4189605
NCT04354389,42109
NCT04354389,4230543
NCT04355247,43012761
NCT04402203,3010647
NCT04402203,4094657
NCT04402203,4189605
NCT04402203,414638
NCT04402203,409491
NCT04343729,433446
NCT04370262,37392316
NCT04370262,2212296
NCT04370262,4148615
NCT04331470,4096101
NCT04344951,4189605
NCT04344951,4250175
NCT04391101,4120014
NCT04391101,4285602
NCT04341441,2212296
NCT04341441,45771331
NCT04429763,4119813
NCT04429763,44808684
NCT04439071,3198682
NCT04439071,4230543
NCT04439071,4254663
NCT04439071,45889912
NCT04439071,4480642
NCT04439071,43012761
NCT04365257,409491
NCT04365257,4181663
NCT04425252,409491
NCT04425252,4039428
NCT04425252,45889912
NCT04425252,4148615
NCT04425252,2212296
NCT04425252,4189605
NCT04425252,414638
NCT04425252,4230543
NCT04425252,4152194
NCT04425252,415479
NCT04425252,4096101
NCT04425252,4239408
NCT04425252,4233883
NCT04381923,4296538
NCT04352608,4239666
NCT04352608,4122259
NCT04352608,4245997
NCT04352608,440846
NCT04352608,4012972
NCT04352608,37016333
NCT04352608,3025085
NCT04364815,913916
NCT04364815,37111521
NCT04364815,4245997
NCT04364815,409491
NCT04364815,8568
NCT04364815,45889912
NCT04364815,4316372
NCT04364815,4267147
NCT04364815,414638
NCT04299152,4189605
NCT04299152,414638
NCT04299152,45890528
NCT04299152,4230543
NCT04299152,2212227
NCT04299152,4078242
NCT04299152,4042412
NCT04299152,45889912
NCT04299152,4039428
NCT04363450,4213477
NCT04363450,46271813
NCT04380532,4245997
NCT04407689,414638
NCT04407689,4189605
NCT04407689,4215562
NCT04407689,4012972
NCT04407689,4148615
NCT04407689,4039428
NCT04407689,40483383
NCT04359615,4008859
NCT04359615,4035061
NCT04359615,4172077
NCT04334512,40484652
NCT04358614,42536097
NCT04409886,35936749
NCT04363034,409491
NCT04411628,4310328
NCT04411628,4096101
NCT04359316,4189605
NCT04359316,414638
NCT04359316,45890528
NCT04359316,2212296
NCT04359316,45766326
NCT04359316,37016292
NCT04359316,4262845
NCT04341870,4148615
NCT04341870,4244232
NCT04341870,4039428
NCT04341870,4010408
NCT04341870,414638
NCT04373291,4078242
NCT04353271,37111521
NCT04353271,1002134
NCT04348500,4041169
NCT04348500,4013251
NCT04348500,2212643
NCT04348500,4267147
NCT04348500,414638
NCT04442178,414638
NCT04442178,4189605
NCT04442178,4215562
NCT04442178,8568
NCT04353128,37111521
NCT04341389,15636
NCT04360096,415479
NCT04360096,4009409
NCT04358549,4078242
NCT04358549,4080169
NCT04358549,4213477
NCT04421391,35936749
NCT04421391,37392316
NCT04421391,4230543
NCT04338074,1303425
NCT04345289,409491
NCT04345289,4336683
NCT04345289,37016292
NCT04345289,434557
NCT04345289,4012972
NCT04345289,4148615
NCT04345289,4041531
NCT04345289,4267147
NCT04345289,42739976
NCT04397562,414638
NCT04397562,4189605
NCT04397562,4039428
NCT04397562,4148615
NCT04397562,45882227
NCT04406389,4039428
NCT04406389,4124949
NCT04389671,4292196
NCT04389671,2212296
NCT04389671,4323433
NCT04389671,4326744
NCT04389671,4148615
NCT04356677,4326744
NCT04356677,45889912
NCT04356677,4030871
NCT04356677,4013886
NCT04434248,4310328
NCT04434248,4096101
NCT04434248,3027946
NCT04434248,4152194
NCT04434248,415479
NCT04434248,4213477
NCT04434248,4211515
NCT04434248,414638
NCT04434248,4094657
NCT04434248,4189605
NCT04339712,434557
NCT04339712,4078242
NCT04339712,4055285
NCT04328467,37111521
NCT04348370,4078242
NCT04354428,4313591
NCT04354428,4169076
NCT04402879,4296538
NCT04402879,4152194
NCT04402879,4329601
NCT04393311,4326594
NCT04393311,4192056
NCT04382755,37111521
NCT04382755,4148615
NCT04382755,4015824
NCT04382755,3198682
NCT04382755,4121879
NCT04382755,4094448
NCT04409509,4306239
NCT04409509,1778262
NCT04392973,37016292
NCT04392973,4189605
NCT04401410,4300535
NCT04401410,4253759
NCT04401410,4211515
NCT04401410,4094657
NCT04401410,2149109
NCT04355897,4336683
NCT04355897,438878
NCT04355897,4314777
NCT04321369,4189605
NCT04321369,414638
NCT04321369,45890528
NCT04321369,2212296
NCT04321369,45766326
NCT04321369,37016292
NCT04321369,4262845
NCT04338347,37061515
NCT04338347,2212296
NCT04338347,438878
NCT04356443,4096101
NCT04446065,403485
NCT04446065,40761511
NCT04409184,40218805
NCT04287686,4203722
NCT04287686,41907589
NCT04287686,4099154
NCT04270383,4259929
NCT04453527,4148981
NCT04453527,45882878
NCT04449588,4223299
NCT04449588,37016292
NCT04449588,4213477
NCT04443868,44782659
